name,code,count,confidence,category,manual_code,encoder,correct
elledi latte leggero e deigeribile 1% di grassi senaza lattosio bio,01.1.4.2,6,1.0,"latticini | latte, uova e burro",01.1.4.2,intfloat/e5-mistral-7b-instruct,True
caffe hag solubile 100g,01.2.2.0,6,1.0,coffee,01.2.2.0,intfloat/e5-mistral-7b-instruct,True
nescafe gold iced salted caramel latte x6,01.2.2.0,4,0.6666666666666666,beverages | coffee & tea,01.1.4.7,intfloat/e5-mistral-7b-instruct,False
rocca olio di sansa 1l,01.1.5.1,6,1.0,groceries | oil & vinegar,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
carrefour tuna in olive oil  2x160 grms,01.1.3.3,6,1.0,tins cans & packets,01.1.9.1,intfloat/e5-mistral-7b-instruct,False
distilleria marzadro grappa diciotto lune 700 ml,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,False
innocent pomegranate magic,01.1.6.1,4,0.6666666666666666,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
"grevensteiner original 0,5 l",02.1.9.0,6,1.0,bier,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
rauch yippy apple juice,01.2.1.0,4,0.6666666666666666,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
hell apple strong 250ml,01.2.6.0,6,1.0,soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
tetley redbush & vanilla tea 40 pcs.,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
santal (ab) orange juice 100% 1ltr,01.2.6.0,4,0.6666666666666666,juices & smoothies,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
cyprina exotic juice 1l,01.2.6.0,6,1.0,beverages | juices & ice-teas,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
carrefour monviso sparkling water,01.2.5.0,6,1.0,water,01.2.5.0,intfloat/e5-mistral-7b-instruct,True
san michel fruit waves orange 500ml,01.2.5.0,4,0.6666666666666666,bottled water,01.2.9.0,intfloat/e5-mistral-7b-instruct,False
smoochie strawberry & banana smoochie,01.1.4.7,2,0.3333333333333333,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
fredu apuliano apuliano primitivo salento,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
prosecco margherita  extra dry,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
carrefour anchovy fillets in olive oil 46 grms,01.1.3.3,6,1.0,tins cans & packets,01.1.9.9,intfloat/e5-mistral-7b-instruct,False
casa del arco tinto 75cl,02.1.2.1,4,0.6666666666666666,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
bordon corned beef 200g,01.1.9.9,4,0.6666666666666666,tins cans & packets,01.1.2.5,intfloat/e5-mistral-7b-instruct,False
capsule espresso forza intensity 9,01.2.2.0,6,1.0,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,intfloat/e5-mistral-7b-instruct,True
miguel torres hemisferio carmenere 75cl,02.1.2.1,6,1.0,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
percorsi di gusto primia nettare di frutti di bosco,02.1.1.0,4,0.6666666666666666,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
sainsbury's valpolicella ripasso 75cl,02.1.2.1,4,0.6666666666666666,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
"sprite gassosa 1,32 lt",01.2.5.0,6,1.0,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,intfloat/e5-mistral-7b-instruct,False
yoga pear juice  1 ltr,01.2.1.0,6,1.0,juices & smoothies,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
primia olio di semi di arachide,01.1.5.1,6,1.0,olio e conserve | olio,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
twining's english breakfast tea x25 002 grms,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
santal (ab) coconut water,01.1.4.4,6,1.0,juices,01.2.9.0,intfloat/e5-mistral-7b-instruct,False
carrefour selection extra dried porcini mushrooms 10g,01.1.7.7,4,0.6666666666666666,tins cans & packets,01.1.7.9,intfloat/e5-mistral-7b-instruct,False
schweppes bitter lemon pet 500ml,01.2.6.0,6,1.0,beverages | soft drinks & mixers,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
innocent apple juice 1.35 ltr,01.2.6.0,6,1.0,chilled fruit juice & smoothie,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
koppaberg alcohol free pear cider 50cl,01.2.6.0,4,0.6666666666666666,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.2.2,intfloat/e5-mistral-7b-instruct,False
capri-sonne mango & maracuja,01.2.6.0,6,1.0,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
carapelli frontolivis oo 1l,01.1.5.1,6,1.0,groceries | oil & vinegar,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
quilmes argentina's beer,01.2.5.0,6,1.0,"acqua, bevande, alcolici | birra",02.1.3.0,intfloat/e5-mistral-7b-instruct,False
miguel torres reserva santa digna cabernet sauvignon,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
flora buttery EUR1.99c,01.1.5.3,6,1.0,spreads,01.1.5.2,intfloat/e5-mistral-7b-instruct,False
jagermeister matured in oak 700ml,02.1.1.0,6,1.0,spirits,02.1.1.0,intfloat/e5-mistral-7b-instruct,True
lipton balance green tea bags 25 pcs.,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
daura estrella birra chiara per celiaci,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | birra",02.1.3.0,intfloat/e5-mistral-7b-instruct,False
agros juice apple juice,01.2.1.0,6,1.0,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
lavazza caffe qualita oro 750 gr,01.2.2.0,6,1.0,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,intfloat/e5-mistral-7b-instruct,True
clipper organic english breakfast tea 20 pcs.,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
desira joghurt crisp 175g,01.1.4.6,6,1.0,milchprodukte,01.1.4.6,intfloat/e5-mistral-7b-instruct,True
energy activator tropical trip,01.2.5.0,6,1.0,"acqua, bibite e succhi | bibite",01.2.9.0,intfloat/e5-mistral-7b-instruct,False
yoga multivitamin juice,01.1.4.6,4,0.6666666666666666,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
lome super fruit succo di melagrana 200 ml,01.2.6.0,6,1.0,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
sprite twin pack,01.2.6.0,4,0.6666666666666666,soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
staustell brewery proper job cornish ipa beer 500 ml,02.1.9.0,6,1.0,beer & cider,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
coldpress smoothie pineapple coconut & banana,01.2.1.0,6,1.0,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
greco di tufo white wine,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
yogi organic detox energy teabags 12 pcs.,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
dolce gusto caffe ginseng,01.2.2.0,6,1.0,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,intfloat/e5-mistral-7b-instruct,True
san benedetto dall the''  pesca 250 ml,01.2.5.0,6,1.0,soft drinks,01.2.3.0,intfloat/e5-mistral-7b-instruct,False
il baluardo lambrusco grasparossa di castelvetro doc 750 ml,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,False
thatchers gold cider bottle,02.1.2.2,6,1.0,cider,02.1.2.2,intfloat/e5-mistral-7b-instruct,True
perrier 20cl gls x 6 pk,01.2.5.0,6,1.0,drinks | water | water - sparkling ,01.2.5.0,intfloat/e5-mistral-7b-instruct,True
19 crimes cabernet sauvignon 75cl,02.1.2.1,6,1.0,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
tagua chardonnay  x,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
carrefour selection te verde nilgiri 15 p,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
ovaltine original light,01.2.4.0,6,1.0,hot drinks,01.2.9.0,intfloat/e5-mistral-7b-instruct,False
white edition,01.2.5.0,6,1.0,"acqua, bibite e succhi | bibite",01.2.6.0,intfloat/e5-mistral-7b-instruct,False
somerdale salted butter 200gr,01.1.5.3,6,1.0,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,intfloat/e5-mistral-7b-instruct,False
heineken silver beer can,02.1.9.0,6,1.0,beer,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
lavazza perfetto esp 250g,01.2.2.0,4,0.6666666666666666,beverages | coffee & tea,01.2.2.0,intfloat/e5-mistral-7b-instruct,True
schweppes tonica 330 ml,01.2.6.0,4,0.6666666666666666,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,intfloat/e5-mistral-7b-instruct,True
kristal frutaqua lemon,01.2.5.0,4,0.6666666666666666,water,01.2.6.0,intfloat/e5-mistral-7b-instruct,False
il montu' grappa di bonarda oltrepo pavese,02.1.1.0,6,1.0,"acqua, bevande, alcolici | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,True
bolero instant drink pear,01.2.6.0,4,0.6666666666666666,drinks | squashes | fruit & milk squashes,01.2.9.0,intfloat/e5-mistral-7b-instruct,False
vital nature avena e cocco senza zuccheri aggiunti bio,01.1.4.4,4,0.6666666666666666,"acqua, bibite e succhi | bevande vegetali",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
feudi di san gregorio fiano d'avellino doc 750 ml,01.2.5.0,6,1.0,"acqua, bevande, alcolici | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,False
jimmy iced coffee caramel,01.2.2.0,6,1.0,cold coffee,01.2.2.0,intfloat/e5-mistral-7b-instruct,True
lavazza caffe crema e gusto 500 gr,01.2.2.0,6,1.0,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,intfloat/e5-mistral-7b-instruct,True
sensi chianti docg in fiasco,02.1.2.1,6,1.0,"acqua, bevande, alcolici | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
nescafe ispirazione italiana espresso roma 112 gr,01.2.2.0,6,1.0,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,intfloat/e5-mistral-7b-instruct,True
jolly pear juice x6 x125ml,01.2.1.0,6,1.0,drinks | smoothies & juice drinks | long life juice,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
"milsani bergbauern-joghurt 0,45 kg, vanille",01.1.4.1,4,0.6666666666666666,milchprodukte,01.1.4.6,intfloat/e5-mistral-7b-instruct,False
mont valentino 2021 merlot,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
san paolo red 75cl,01.2.5.0,6,1.0,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,False
gavi del comune di gavi granee,02.1.2.1,4,0.6666666666666666,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
j.p. chenet medium sweet moelleux red,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
innocent plus green wonder green  750 ml,01.2.6.0,6,1.0,chilled fruit juice & smoothie,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
heath & heather green tea with manuka 40 grms,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
exeter corned beef 30c off 340g,01.1.9.9,4,0.6666666666666666,tins cans & packets,01.1.2.5,intfloat/e5-mistral-7b-instruct,False
"lowenbrau munchen munchner hell 0,5 l",02.1.9.0,6,1.0,bier,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
dolce gusto ristretto barista 16 cap 120gr,01.2.2.0,4,0.6666666666666666,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,intfloat/e5-mistral-7b-instruct,True
peroni nastro azzurro 33cl,02.1.9.0,4,0.6666666666666666,drinks | beers & ciders | beers & lagers,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
grignolino d'asti doc,02.1.2.1,6,1.0,"vini, birra e liquori | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
coldpress valencia orange,01.2.1.0,4,0.6666666666666666,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
vodka keglevich ginepro 70cl 30deg,02.1.1.0,6,1.0,gin & vodka,02.1.1.0,intfloat/e5-mistral-7b-instruct,True
sodastream pepsi max syrup,01.2.6.0,4,0.6666666666666666,soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
coca cola can 330ml,01.2.6.0,6,1.0,drinks | soft drinks | soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
duca di camastra syrah 75cl,02.1.2.1,6,1.0,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
strongbow rose 50cl,02.1.2.2,4,0.6666666666666666,drinks | beers & ciders | cider,02.1.2.2,intfloat/e5-mistral-7b-instruct,True
ribena blackcurrant 600ml,01.2.1.0,6,1.0,beverages | juices & ice-teas,01.2.9.0,intfloat/e5-mistral-7b-instruct,False
