name,category,code
elledi latte leggero e deigeribile 1% di grassi senaza lattosio bio,"latticini | latte, uova e burro",01.1.4.2
caffe hag solubile 100g,coffee,01.2.2.0
nescafe gold iced salted caramel latte x6,beverages | coffee & tea,01.1.4.7
rocca olio di sansa 1l,groceries | oil & vinegar,01.1.5.1
carrefour tuna in olive oil  2x160 grms,tins cans & packets,01.1.9.1
distilleria marzadro grappa diciotto lune 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
innocent pomegranate magic,juices,01.2.1.0
"grevensteiner original 0,5 l",bier,02.1.3.0
rauch yippy apple juice,juices,01.2.1.0
hell apple strong 250ml,soft drinks,01.2.6.0
tetley redbush & vanilla tea 40 pcs.,tea,01.2.3.0
santal (ab) orange juice 100% 1ltr,juices & smoothies,01.2.1.0
cyprina exotic juice 1l,beverages | juices & ice-teas,01.2.1.0
carrefour monviso sparkling water,water,01.2.5.0
san michel fruit waves orange 500ml,bottled water,01.2.9.0
smoochie strawberry & banana smoochie,juices,01.2.1.0
fredu apuliano apuliano primitivo salento,wine,02.1.2.1
prosecco margherita  extra dry,wine,02.1.2.1
carrefour anchovy fillets in olive oil 46 grms,tins cans & packets,01.1.9.9
casa del arco tinto 75cl,drinks | wine | red wine,02.1.2.1
bordon corned beef 200g,tins cans & packets,01.1.2.5
capsule espresso forza intensity 9,"caffè, tea e zucchero | caffè e solubili",01.2.2.0
miguel torres hemisferio carmenere 75cl,drinks | wine | red wine,02.1.2.1
percorsi di gusto primia nettare di frutti di bosco,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
sainsbury's valpolicella ripasso 75cl,drinks | wine | red wine,02.1.2.1
"sprite gassosa 1,32 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
yoga pear juice  1 ltr,juices & smoothies,01.2.1.0
primia olio di semi di arachide,olio e conserve | olio,01.1.5.1
twining's english breakfast tea x25 002 grms,tea,01.2.3.0
santal (ab) coconut water,juices,01.2.9.0
carrefour selection extra dried porcini mushrooms 10g,tins cans & packets,01.1.7.9
schweppes bitter lemon pet 500ml,beverages | soft drinks & mixers,01.2.6.0
innocent apple juice 1.35 ltr,chilled fruit juice & smoothie,01.2.1.0
koppaberg alcohol free pear cider 50cl,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.2.2
capri-sonne mango & maracuja,juices,01.2.1.0
carapelli frontolivis oo 1l,groceries | oil & vinegar,01.1.5.1
quilmes argentina's beer,"acqua, bevande, alcolici | birra",02.1.3.0
miguel torres reserva santa digna cabernet sauvignon,wine,02.1.2.1
flora buttery EUR1.99c,spreads,01.1.5.2
jagermeister matured in oak 700ml,spirits,02.1.1.0
lipton balance green tea bags 25 pcs.,tea,01.2.3.0
daura estrella birra chiara per celiaci,"acqua, bevande, alcolici | birra",02.1.3.0
agros juice apple juice,juices,01.2.1.0
lavazza caffe qualita oro 750 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0
clipper organic english breakfast tea 20 pcs.,tea,01.2.3.0
desira joghurt crisp 175g,milchprodukte,01.1.4.6
energy activator tropical trip,"acqua, bibite e succhi | bibite",01.2.9.0
yoga multivitamin juice,juices,01.2.1.0
lome super fruit succo di melagrana 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
sprite twin pack,soft drinks,01.2.6.0
staustell brewery proper job cornish ipa beer 500 ml,beer & cider,02.1.3.0
coldpress smoothie pineapple coconut & banana,juices,01.2.1.0
greco di tufo white wine,wine,02.1.2.1
yogi organic detox energy teabags 12 pcs.,tea,01.2.3.0
dolce gusto caffe ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0
san benedetto dall the''  pesca 250 ml,soft drinks,01.2.3.0
il baluardo lambrusco grasparossa di castelvetro doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1
thatchers gold cider bottle,cider,02.1.2.2
perrier 20cl gls x 6 pk,drinks | water | water - sparkling ,01.2.5.0
19 crimes cabernet sauvignon 75cl,drinks | wine | red wine,02.1.2.1
tagua chardonnay  x,wine,02.1.2.1
carrefour selection te verde nilgiri 15 p,tea,01.2.3.0
ovaltine original light,hot drinks,01.2.9.0
white edition,"acqua, bibite e succhi | bibite",01.2.6.0
somerdale salted butter 200gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2
heineken silver beer can,beer,02.1.3.0
lavazza perfetto esp 250g,beverages | coffee & tea,01.2.2.0
schweppes tonica 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
kristal frutaqua lemon,water,01.2.6.0
il montu' grappa di bonarda oltrepo pavese,"acqua, bevande, alcolici | liquori",02.1.1.0
bolero instant drink pear,drinks | squashes | fruit & milk squashes,01.2.9.0
vital nature avena e cocco senza zuccheri aggiunti bio,"acqua, bibite e succhi | bevande vegetali",01.2.1.0
feudi di san gregorio fiano d'avellino doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1
jimmy iced coffee caramel,cold coffee,01.2.2.0
lavazza caffe crema e gusto 500 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0
sensi chianti docg in fiasco,"acqua, bevande, alcolici | vini",02.1.2.1
nescafe ispirazione italiana espresso roma 112 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0
jolly pear juice x6 x125ml,drinks | smoothies & juice drinks | long life juice,01.2.1.0
"milsani bergbauern-joghurt 0,45 kg, vanille",milchprodukte,01.1.4.6
mont valentino 2021 merlot,wine,02.1.2.1
san paolo red 75cl,drinks | wine | red wine,02.1.2.1
gavi del comune di gavi granee,wine,02.1.2.1
j.p. chenet medium sweet moelleux red,wine,02.1.2.1
innocent plus green wonder green  750 ml,chilled fruit juice & smoothie,01.2.1.0
heath & heather green tea with manuka 40 grms,tea,01.2.3.0
exeter corned beef 30c off 340g,tins cans & packets,01.1.2.5
"lowenbrau munchen munchner hell 0,5 l",bier,02.1.3.0
dolce gusto ristretto barista 16 cap 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0
peroni nastro azzurro 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0
grignolino d'asti doc,"vini, birra e liquori | vini",02.1.2.1
coldpress valencia orange,juices,01.2.1.0
vodka keglevich ginepro 70cl 30deg,gin & vodka,02.1.1.0
sodastream pepsi max syrup,soft drinks,01.2.6.0
coca cola can 330ml,drinks | soft drinks | soft drinks,01.2.6.0
duca di camastra syrah 75cl,drinks | wine | red wine,02.1.2.1
strongbow rose 50cl,drinks | beers & ciders | cider,02.1.2.2
ribena blackcurrant 600ml,beverages | juices & ice-teas,01.2.9.0
notte rossa primitivo rosato igp,"acqua, bevande, alcolici | vini",02.1.2.1
kean orange juice 250 ml,juices & smoothies,01.2.1.0
kinnie bottle,soft drinks,01.2.6.0
prosecco millesimato doc,"vini, birra e liquori | spumanti e champagne",02.1.2.1
milsani joghurt 500 g,milchprodukte,01.1.4.6
erin thick chicken soup 64 g,tins cans & packets,01.1.9.1
santagostino rosso firriato 75cl,drinks | wine | red wine,02.1.2.1
nescafe gold chocolate caramel hazelnut latte x8sac,food cupboard groceries | coffee | coffee sachets & pods,01.1.4.7
lavazza a modo mio qualita oro,"zucchero, caffe', te', infusi | caffe'",01.2.2.0
malteser's hot chocolate  powder,hot drinks,01.2.4.0
mevante montefalco sagrantino 75ml,wine,02.1.2.1
monkey dry gin,"acqua, bevande, alcolici | liquori",02.1.1.0
succo e polpa di pera,"acqua, bibite e succhi | succhi",01.2.1.0
asahi birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0
torres celeste,wine,02.1.2.1
alte valli appennine burro 125 gr,"latte, yogurt, burro, uova | latticini e burro",01.1.5.2
bravo arancia senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
tisana caffe amaretto & vaniglia 15 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0
syrah igp,"vini, birra e liquori | vini",02.1.2.1
carrefour lentils eston 400g,tins cans & packets,01.1.7.9
sanpellegrino cocktail zero 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
tropicana orange smooth,juices,01.2.1.0
burro gran moravia 250g,burro & margarina,01.1.5.2
evian natural mineral water 750 ml,bottled water,01.2.5.0
alska strawberry & lime fruit cider,cider,02.1.2.2
coppini olive oil 250ml,groceries | oil & vinegar,01.1.5.1
delicata lachryma vitis red tetrapak 75cl,drinks | wine | red wine,02.1.2.1
"smoochie kiwi, pineapple",juices,01.2.1.0
bolero instant drink peach,drinks | squashes | fruit & milk squashes,01.2.9.0
bordon corned beef low fat 340 grms,tins cans & packets,01.1.2.5
baron philippe de rothschild sauvignon blanc,wine,02.1.2.1
famous grouse smoky black,alcohol,02.1.1.0
carrefour aqua monviso frizzante,water,01.2.5.0
santal dolce di natura multifrutti,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
bertani amarone valoantena,wine,02.1.2.1
latte accadi' senza lattosio,"latticini | latte, uova e burro",01.1.4.1
"primia the con infuso di pesca 1,5 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0
calvo tuna steak in sunflower oil with chilli 3+1 free 080 grms,tins cans & packets,01.1.9.1
bonduelle red kidney beans 400g,tins cans & packets,01.1.7.9
duca di vigliano grappa moscato affinato 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
latte accadi' uht senza lattosio,"latticini | latte, uova e burro",01.1.4.1
cisk excel lager beer 6 x 330ml,beverages | beer & cider,02.1.3.0
carrefour preparato per cioccolata,hot drinks,01.1.8.5
kumala chenin blanc 2017 750 ml,wine,02.1.2.1
folonari chardonnay,wine,02.1.2.1
bavaria non-alcoholic beer can,beer,02.1.3.0
koppaberg cherry cider 50cl,drinks | beers & ciders | cider,02.1.2.2
lurpak spread salted 56c off,spreads,01.1.5.2
moo mini white,organic products,01.1.8.5
"holunderblutenlikor 0,5 l",spirituosen,02.1.1.0
zuegg arancia rossa senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
london dry gin,"vini, birra e liquori | liquori",02.1.1.0
borges extra light olive oil 750ml,groceries | oil & vinegar,01.1.5.1
elan sparkling water 1.5l x6,beverages | bottled water,01.2.5.0
