name,category,manual_code,correct_option,correct_n,llm,prediction,match
elledi latte leggero e deigeribile 1% di grassi senaza lattosio bio,"latticini | latte, uova e burro",01.1.4.2,True,12,mistral:latest,01.1.4.2,True
caffe hag solubile 100g,coffee,01.2.2.0,True,12,mistral:latest,01.2.2.0,True
nescafe gold iced salted caramel latte x6,beverages | coffee & tea,01.1.4.7,True,2,mistral:latest,01.1.4.7,True
rocca olio di sansa 1l,groceries | oil & vinegar,01.1.5.1,True,10,mistral:latest,01.1.5.1,True
carrefour tuna in olive oil  2x160 grms,tins cans & packets,01.1.9.1,True,1,mistral:latest,01.1.3.3,False
distilleria marzadro grappa diciotto lune 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,7,mistral:latest,02.1.1.0,True
innocent pomegranate magic,juices,01.2.1.0,True,4,mistral:latest,01.2.1.0,True
"grevensteiner original 0,5 l",bier,02.1.3.0,True,7,mistral:latest,02.1.3.0,True
rauch yippy apple juice,juices,01.2.1.0,True,8,mistral:latest,01.2.1.0,True
hell apple strong 250ml,soft drinks,01.2.6.0,True,5,mistral:latest,01.2.6.0,True
tetley redbush & vanilla tea 40 pcs.,tea,01.2.3.0,True,12,mistral:latest,01.2.3.0,True
santal (ab) orange juice 100% 1ltr,juices & smoothies,01.2.1.0,True,4,mistral:latest,01.2.1.0,True
cyprina exotic juice 1l,beverages | juices & ice-teas,01.2.1.0,True,10,mistral:latest,01.2.1.0,True
carrefour monviso sparkling water,water,01.2.5.0,True,11,mistral:latest,01.2.5.0,True
san michel fruit waves orange 500ml,bottled water,01.2.9.0,True,1,mistral:latest,01.2.5.0,False
smoochie strawberry & banana smoochie,juices,01.2.1.0,True,2,mistral:latest,01.2.1.0,True
fredu apuliano apuliano primitivo salento,wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
prosecco margherita  extra dry,wine,02.1.2.1,True,7,mistral:latest,02.1.2.1,True
carrefour anchovy fillets in olive oil 46 grms,tins cans & packets,01.1.9.9,True,1,mistral:latest,01.1.3.3,False
casa del arco tinto 75cl,drinks | wine | red wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
bordon corned beef 200g,tins cans & packets,01.1.2.5,True,3,mistral:latest,01.1.2.5,True
capsule espresso forza intensity 9,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,8,mistral:latest,05.3.2.2,False
miguel torres hemisferio carmenere 75cl,drinks | wine | red wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
percorsi di gusto primia nettare di frutti di bosco,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,mistral:latest,01.2.1.0,True
sainsbury's valpolicella ripasso 75cl,drinks | wine | red wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
"sprite gassosa 1,32 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,1,mistral:latest,01.2.6.0,True
yoga pear juice  1 ltr,juices & smoothies,01.2.1.0,True,6,mistral:latest,01.2.1.0,True
primia olio di semi di arachide,olio e conserve | olio,01.1.5.1,True,11,mistral:latest,01.1.5.1,True
twining's english breakfast tea x25 002 grms,tea,01.2.3.0,True,12,mistral:latest,01.2.3.0,True
santal (ab) coconut water,juices,01.2.9.0,True,2,mistral:latest,01.2.1.0,False
carrefour selection extra dried porcini mushrooms 10g,tins cans & packets,01.1.7.9,True,1,mistral:latest,01.1.2.5,False
schweppes bitter lemon pet 500ml,beverages | soft drinks & mixers,01.2.6.0,True,11,mistral:latest,01.2.6.0,True
innocent apple juice 1.35 ltr,chilled fruit juice & smoothie,01.2.1.0,True,7,mistral:latest,01.2.1.0,True
koppaberg alcohol free pear cider 50cl,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.2.2,True,4,mistral:latest,02.1.3.0,False
capri-sonne mango & maracuja,juices,01.2.1.0,True,8,mistral:latest,01.2.1.0,True
carapelli frontolivis oo 1l,groceries | oil & vinegar,01.1.5.1,True,10,mistral:latest,01.1.5.1,True
