original_index,name,category,manual_code,correct_option,correct_n,llm,prediction,match
0,elledi latte leggero e deigeribile 1% di grassi senaza lattosio bio,"latticini | latte, uova e burro",01.1.4.2,True,12,qwen2.5:32b,01.1.4.3,False
1,caffe hag solubile 100g,coffee,01.2.2.0,True,12,qwen2.5:32b,01.2.2.0,True
2,nescafe gold iced salted caramel latte x6,beverages | coffee & tea,01.1.4.7,True,2,qwen2.5:32b,01.2.2.0,False
3,rocca olio di sansa 1l,groceries | oil & vinegar,01.1.5.1,True,10,qwen2.5:32b,01.1.9.9,False
4,carrefour tuna in olive oil  2x160 grms,tins cans & packets,01.1.9.1,True,1,qwen2.5:32b,01.1.3.2,False
5,distilleria marzadro grappa diciotto lune 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,7,qwen2.5:32b,14.6.2.0,False
6,innocent pomegranate magic,juices,01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
7,"grevensteiner original 0,5 l",bier,02.1.3.0,True,7,qwen2.5:32b,02.1.3.0,True
8,rauch yippy apple juice,juices,01.2.1.0,True,8,qwen2.5:32b,01.2.1.0,True
9,hell apple strong 250ml,soft drinks,01.2.6.0,True,5,qwen2.5:32b,01.2.6.0,True
10,tetley redbush & vanilla tea 40 pcs.,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
11,santal (ab) orange juice 100% 1ltr,juices & smoothies,01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
12,cyprina exotic juice 1l,beverages | juices & ice-teas,01.2.1.0,True,10,qwen2.5:32b,01.2.1.0,True
13,carrefour monviso sparkling water,water,01.2.5.0,True,11,qwen2.5:32b,01.2.5.0,True
14,san michel fruit waves orange 500ml,bottled water,01.2.9.0,True,1,qwen2.5:32b,01.2.9.0,True
15,smoochie strawberry & banana smoochie,juices,01.2.1.0,True,2,qwen2.5:32b,01.2.9.0,False
16,fredu apuliano apuliano primitivo salento,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
17,prosecco margherita  extra dry,wine,02.1.2.1,True,7,qwen2.5:32b,02.1.2.1,True
18,carrefour anchovy fillets in olive oil 46 grms,tins cans & packets,01.1.9.9,True,1,qwen2.5:32b,01.1.3.1,False
19,casa del arco tinto 75cl,drinks | wine | red wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
20,bordon corned beef 200g,tins cans & packets,01.1.2.5,True,3,qwen2.5:32b,01.1.2.2,False
21,capsule espresso forza intensity 9,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
22,miguel torres hemisferio carmenere 75cl,drinks | wine | red wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
23,percorsi di gusto primia nettare di frutti di bosco,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
24,sainsbury's valpolicella ripasso 75cl,drinks | wine | red wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
25,"sprite gassosa 1,32 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,1,qwen2.5:32b,01.2.6.0,True
26,yoga pear juice  1 ltr,juices & smoothies,01.2.1.0,True,6,qwen2.5:32b,01.2.1.0,True
27,primia olio di semi di arachide,olio e conserve | olio,01.1.5.1,True,11,qwen2.5:32b,01.1.5.1,True
28,twining's english breakfast tea x25 002 grms,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
29,santal (ab) coconut water,juices,01.2.9.0,True,2,qwen2.5:32b,01.2.4.0,False
30,carrefour selection extra dried porcini mushrooms 10g,tins cans & packets,01.1.7.9,True,1,qwen2.5:32b,15.2.2.0,False
31,schweppes bitter lemon pet 500ml,beverages | soft drinks & mixers,01.2.6.0,True,11,qwen2.5:32b,01.2.6.0,True
32,innocent apple juice 1.35 ltr,chilled fruit juice & smoothie,01.2.1.0,True,7,qwen2.5:32b,01.2.1.0,True
33,koppaberg alcohol free pear cider 50cl,drinks | beers & ciders | non-alcoholic beers & ciders,02.1.2.2,True,4,qwen2.5:32b,01.2.9.0,False
34,capri-sonne mango & maracuja,juices,01.2.1.0,True,8,qwen2.5:32b,01.2.9.0,False
35,carapelli frontolivis oo 1l,groceries | oil & vinegar,01.1.5.1,True,10,qwen2.5:32b,01.1.9.9,False
36,quilmes argentina's beer,"acqua, bevande, alcolici | birra",02.1.3.0,True,1,qwen2.5:32b,02.1.3.0,True
37,miguel torres reserva santa digna cabernet sauvignon,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
38,flora buttery EUR1.99c,spreads,01.1.5.2,True,3,qwen2.5:32b,01.1.9.9,False
39,jagermeister matured in oak 700ml,spirits,02.1.1.0,True,3,qwen2.5:32b,02.1.1.0,True
40,lipton balance green tea bags 25 pcs.,tea,01.2.3.0,True,11,qwen2.5:32b,01.2.3.0,True
41,daura estrella birra chiara per celiaci,"acqua, bevande, alcolici | birra",02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
42,agros juice apple juice,juices,01.2.1.0,True,9,qwen2.5:32b,01.2.1.0,True
43,lavazza caffe qualita oro 750 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,6,qwen2.5:32b,01.2.2.0,True
44,clipper organic english breakfast tea 20 pcs.,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
45,desira joghurt crisp 175g,milchprodukte,01.1.4.6,True,10,qwen2.5:32b,01.1.4.9,False
46,energy activator tropical trip,"acqua, bibite e succhi | bibite",01.2.9.0,True,7,qwen2.5:32b,01.2.6.0,False
47,yoga multivitamin juice,juices,01.2.1.0,True,5,qwen2.5:32b,01.2.9.0,False
48,lome super fruit succo di melagrana 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,3,qwen2.5:32b,01.2.1.0,True
49,sprite twin pack,soft drinks,01.2.6.0,True,9,qwen2.5:32b,01.2.6.0,True
50,staustell brewery proper job cornish ipa beer 500 ml,beer & cider,02.1.3.0,True,12,qwen2.5:32b,02.1.3.0,True
51,coldpress smoothie pineapple coconut & banana,juices,01.2.1.0,True,3,qwen2.5:32b,01.2.9.0,False
52,greco di tufo white wine,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
53,yogi organic detox energy teabags 12 pcs.,tea,01.2.3.0,True,11,qwen2.5:32b,01.2.3.0,True
54,dolce gusto caffe ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,1,qwen2.5:32b,01.2.2.0,True
55,san benedetto dall the''  pesca 250 ml,soft drinks,01.2.3.0,False,0,qwen2.5:32b,01.2.6.0,False
56,il baluardo lambrusco grasparossa di castelvetro doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
57,thatchers gold cider bottle,cider,02.1.2.2,True,9,qwen2.5:32b,02.1.2.2,True
58,perrier 20cl gls x 6 pk,drinks | water | water - sparkling ,01.2.5.0,True,9,qwen2.5:32b,01.2.5.0,True
59,19 crimes cabernet sauvignon 75cl,drinks | wine | red wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
60,tagua chardonnay  x,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
61,carrefour selection te verde nilgiri 15 p,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
62,ovaltine original light,hot drinks,01.2.9.0,False,0,qwen2.5:32b,01.1.9.9,False
63,white edition,"acqua, bibite e succhi | bibite",01.2.6.0,True,3,qwen2.5:32b,01.2.6.0,True
64,somerdale salted butter 200gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,True,6,qwen2.5:32b,01.1.4.5,False
