method,encoder,distance,correct_percentage,correct_n_mean,correct_n_std,count
12,Alibaba-NLP/gte-Qwen2-7B-instruct,cosine,90.67,5.85,3.73,4993
6+6,Alibaba-NLP/gte-Qwen2-7B-instruct,cosine,85.96,3.96,2.99,4993
12,Alibaba-NLP/gte-Qwen2-7B-instruct,dot,90.67,5.85,3.73,4993
6+6,Alibaba-NLP/gte-Qwen2-7B-instruct,dot,85.96,3.96,2.99,4993
12,Alibaba-NLP/gte-multilingual-base,cosine,87.04,4.64,3.35,4993
6+6,Alibaba-NLP/gte-multilingual-base,cosine,81.81,3.52,2.72,4993
12,Alibaba-NLP/gte-multilingual-base,dot,87.04,4.64,3.35,4993
6+6,Alibaba-NLP/gte-multilingual-base,dot,81.81,3.52,2.72,4993
12,RamsesDIIP/me5-large-construction-v2,cosine,23.67,0.58,1.43,4993
6+6,RamsesDIIP/me5-large-construction-v2,cosine,46.99,1.2,1.62,4993
12,RamsesDIIP/me5-large-construction-v2,dot,23.65,0.58,1.43,4993
6+6,RamsesDIIP/me5-large-construction-v2,dot,46.97,1.2,1.62,4993
12,ibm-granite/granite-embedding-278m-multilingual,cosine,66.85,2.43,2.71,4993
6+6,ibm-granite/granite-embedding-278m-multilingual,cosine,60.38,1.93,2.22,4993
12,ibm-granite/granite-embedding-278m-multilingual,dot,66.85,2.43,2.71,4993
6+6,ibm-granite/granite-embedding-278m-multilingual,dot,60.38,1.93,2.22,4993
12,intfloat/multilingual-e5-base,cosine,77.23,2.94,2.75,4993
6+6,intfloat/multilingual-e5-base,cosine,68.62,2.13,2.12,4993
12,intfloat/multilingual-e5-base,dot,77.23,2.94,2.75,4993
6+6,intfloat/multilingual-e5-base,dot,68.62,2.13,2.12,4993
12,intfloat/multilingual-e5-large,cosine,75.71,3.08,2.94,4993
6+6,intfloat/multilingual-e5-large,cosine,78.67,2.47,2.27,4993
12,intfloat/multilingual-e5-large,dot,75.71,3.08,2.94,4993
6+6,intfloat/multilingual-e5-large,dot,78.67,2.47,2.27,4993
12,jinaai/jina-embeddings-v3,cosine,86.84,5.0,3.6,4993
6+6,jinaai/jina-embeddings-v3,cosine,82.9,3.8,3.09,4993
12,jinaai/jina-embeddings-v3,dot,86.86,5.0,3.6,4993
6+6,jinaai/jina-embeddings-v3,dot,82.96,3.79,3.07,4993
12,paraphrase-multilingual-mpnet-base-v2,cosine,75.05,3.94,3.55,4993
6+6,paraphrase-multilingual-mpnet-base-v2,cosine,70.6,2.83,2.64,4993
12,paraphrase-multilingual-mpnet-base-v2,dot,77.75,3.93,3.3,4993
6+6,paraphrase-multilingual-mpnet-base-v2,dot,71.78,2.83,2.6,4993
12,sentence-transformers/LaBSE,cosine,64.03,2.88,3.33,4993
6+6,sentence-transformers/LaBSE,cosine,66.77,2.54,2.67,4993
12,sentence-transformers/LaBSE,dot,64.03,2.88,3.33,4993
6+6,sentence-transformers/LaBSE,dot,66.77,2.54,2.67,4993
12,sentence-transformers/distiluse-base-multilingual-cased-v1,cosine,68.56,3.25,3.43,4993
6+6,sentence-transformers/distiluse-base-multilingual-cased-v1,cosine,67.81,2.5,2.48,4993
12,sentence-transformers/distiluse-base-multilingual-cased-v1,dot,69.94,3.19,3.31,4993
6+6,sentence-transformers/distiluse-base-multilingual-cased-v1,dot,68.26,2.4,2.4,4993
